ID,Name,Price_amount,Price_currency,Photo,Specs,Rating,Weight,Size,Category,Materials,SupplierInfo,MadeIn,ProductionCompanyName,Status,Store_ID
d35da8c0-df61-4634-a353-09cc2f091ff6,Alternator,516,USD,/images/alternator.png,Ex velit quisquam fuga. Molestias omnis incidunt debitis aut. Dolores illo itaque recusandae odit. Error sit quo atque. Minima placeat harum nihil voluptatibus atque qui placeat voluptas quia. Minima voluptas omnis.,5,935,89 x 93,Engine parts,Aluminum,Doloremque quo aspernatur repudiandae recusandae et quas sunt qui soluta. Reiciendis molestiae minus architecto impedit quis in quidem quo distinctio. Voluptatem temporibus voluptate voluptas et iusto error. Asperiores deserunt non modi dolore. Et itaque quos laboriosam sit suscipit eveniet,Ukraine,Runolfsson - Smitham,OUT_OF_STOCK,0b99cf7c-7075-42a1-b01b-a2972209e64d
0b02e3e0-3ab7-4d4a-93a1-0d9e94a280a3,Alternator,592,USD,/images/alternator.png,Necessitatibus qui ipsam qui praesentium alias aut. Numquam omnis placeat veritatis officiis. Et velit quasi quibusdam. Sit consequatur dolorum molestias quaerat. Inventore quaerat magnam ut. Voluptatum ullam nemo natus illo ut consectetur officiis fuga.,3,387,22 x 24,Engine parts,Aluminum,Repellat tempore officiis. Numquam et ratione omnis voluptate adipisci eos rerum. Dolor nihil vero aut quas possimus nulla odio porro iste.,Saint Kitts and Nevis,Herman LLC,OK,230bba72-4b6b-4974-9b2b-3494ab57a3e6
77001f02-6bfc-4c0c-ae05-2f658757cdf3,Alternator,130,USD,/images/alternator.png,Quia sit labore laboriosam quaerat. Deserunt quam impedit eos sit. Error sit omnis praesentium eius ea. Ullam nam doloribus suscipit voluptas dicta autem architecto voluptate. Placeat rerum officia ipsum et doloribus voluptates facere. Aliquam quis non ut exercitationem et voluptas.,2,972,92 x 48,Engine parts,Aluminum,At repellat repellendus. Autem eaque non modi et velit dolorem ex dolor modi. Accusamus autem reprehenderit quasi. Sed debitis nemo qui minima voluptate velit at ea consequatur.,Botswana,Kemmer - Williamson,STORAGE,bccfacab-5d42-4e15-b0d9-4b8c8241780c
22465933-b2df-4a6e-ae46-b75b9e3dcd75,Alternator,438,USD,/images/alternator.png,Velit numquam rerum. Quaerat aut et qui ut. Dolorum rerum ut est non est eum. Eius voluptatibus ut laborum enim corrupti voluptate aspernatur et sapiente. Earum voluptatibus est et nihil quia iste debitis ullam. Enim saepe omnis laboriosam cumque facilis illo qui id impedit.,3,1977,85 x 20,Engine parts,Aluminum,Modi dolor consequuntur quia porro porro. Voluptatem molestiae ipsum earum ad facere et velit voluptatem ea. Autem molestiae molestiae dolorum praesentium ut. Iste velit a. Quia consequatur vel et aut et et exercitationem dignissimos et.,Antigua and Barbuda,Howell,OK,d0618af0-00f2-4fa5-9327-9a88a9a1e6fd
e1ea3785-7ce7-4637-92c3-e006e1d80c64,Alternator,940,USD,/images/alternator.png,Et voluptas vitae sequi est. Vel voluptatem minus. Molestias ea aut labore autem cum est culpa earum. Sed vel iste est a. Voluptatem voluptas ducimus eius magni non id. Corporis ullam consequuntur ut inventore aut.,3,1357,72 x 58,Engine parts,Aluminum,Et minus non error qui. Quo iste exercitationem ut corrupti non. Reprehenderit repellat veniam beatae. Sapiente necessitatibus quod et in dicta rem veritatis. Nam rerum architecto quas earum. Enim sed optio qui enim dolore possimus quisquam eum.,Colombia,Hauck,STORAGE,d554e720-870a-4088-9bcb-dce8aecaa047
e00eb459-4914-415d-9ea4-5a0a047e0163,Alternator,16,USD,/images/alternator.png,Consequuntur laborum deleniti dolorem aliquid nisi ratione illo. Quo numquam fuga laboriosam. Cumque similique iure exercitationem iusto. Ex omnis necessitatibus. Est optio et quia non aut atque.,4,1093,21 x 80,Engine parts,Aluminum,Quasi asperiores dolores id inventore. Odit exercitationem quidem quia et quis cumque molestiae est est. Velit cumque nisi eius quas doloribus corrupti commodi.,Malaysia,Cormier,STORAGE,1228d78d-05ff-41c6-b1c9-78be881be203
9b13f7bf-46e4-4b78-8ecb-927ae2630bbd,Alternator,401,USD,/images/alternator.png,Optio illum rerum laborum. Nulla voluptatem reprehenderit quod beatae inventore qui ipsum minima aut. Est consequatur sequi. Dicta illo possimus blanditiis velit officia laudantium at sequi qui. Rem illum nemo illo cupiditate ut ullam sunt odio saepe.,1,209,10 x 4,Engine parts,Aluminum,Nam et illo quia illo numquam provident. Sint similique debitis. Officiis perferendis dolorem quae explicabo sint est. Voluptate non architecto fugiat. Et ut voluptatibus rerum veritatis dolore quo non. Ea doloribus optio qui incidunt voluptatem odio omnis optio.,Virgin Islands,U.S.,STORAGE,f8d44863-a9a6-41c1-a3f4-17f07525563b
6c8da8f3-a720-4f9f-a830-8c16dfc716e7,Alternator,923,USD,/images/alternator.png,Dolore ut facere sunt. Magnam reiciendis qui. Est eligendi non sunt pariatur magnam totam voluptatem numquam dicta. Commodi voluptatem ad quae. Et sed temporibus voluptatem rerum id et.,5,755,3 x 85,Engine parts,Aluminum,Ratione asperiores repudiandae rerum rerum. Laborum porro voluptatem. Neque autem dolor molestiae consequatur quasi nemo. Repellendus id vel iusto nobis omnis architecto quos saepe recusandae. Eos quam pariatur et quis a.,Slovenia,Marvin,STORAGE,d0618af0-00f2-4fa5-9327-9a88a9a1e6fd
edfe118b-08e5-4cfd-b7a8-7e965c8f559a,Alternator,180,USD,/images/alternator.png,Fuga quia facilis. Corrupti aspernatur ea hic qui aliquam suscipit aperiam id. Molestiae asperiores nihil odit et aut numquam ratione. Exercitationem nulla vitae blanditiis.,3,1709,81 x 35,Engine parts,Aluminum,Modi consequuntur consequatur. Voluptatibus recusandae itaque deleniti et est vitae. Animi sint omnis magnam unde nostrum.,Malaysia,Koch,STORAGE,fd6600bd-a5e4-4e91-a6b0-292b0a7129d8
77a31e52-39c5-4df7-9487-1ad089ce56b9,Brake Caliper,926,USD,/images/brake_caliper.png,Rerum corporis vel et rerum quo veritatis. Eius et enim. Nobis accusamus odit voluptas in. Voluptate qui ratione earum dolorem ut voluptatem. Cum minus ab doloremque dolor non totam aliquid voluptatem.,5,291,99 x 69,Brake parts,Aluminum,Molestiae necessitatibus dicta ratione dicta dolor. At eos placeat deleniti non quia est dignissimos in aut. Distinctio officia quis quis doloremque et soluta amet fuga. Ipsam deserunt molestiae reprehenderit vel nulla perspiciatis ut. Perspiciatis libero assumenda deserunt. Tempore aut expedita pariatur voluptatem optio sed quod.,Uzbekistan,Lockman - Kemmer,OUT_OF_STOCK,0b99cf7c-7075-42a1-b01b-a2972209e64d
